Date,CO (ppm),NO2 (ppb),O3 (ppm),PM2.5 (ug/m3 LC),SO2 (ppb)
2022-04-19,0.5,43.0,0.04,18.3,2.0
2022-04-20,0.3,34.0,0.05,13.0,1.0
2022-04-21,0.4,28.0,0.05,10.6,1.0
2022-04-22,0.3,17.0,0.05,9.5,1.0
2022-04-23,0.3,23.0,0.05,8.0,0.0
2022-04-24,0.4,30.0,0.05,7.7,0.0
2022-04-25,0.7,55.0,0.06,17.6,2.0
2022-04-26,1.0,53.0,0.06,22.5,2.0
2022-04-27,0.5,37.0,0.06,14.5,1.0
2022-04-28,0.4,36.0,0.05,12.8,1.0
2022-04-29,0.4,24.0,0.06,13.1,1.0
2022-04-30,0.6,45.0,0.06,15.8,1.0
2022-05-01,0.9,44.0,0.06,15.1,1.0
2022-05-02,0.4,30.0,0.06,13.7,1.0
2022-05-03,0.4,27.0,0.05,13.2,1.0
2022-05-04,0.2,36.0,0.05,8.0,1.0
2022-05-05,0.4,45.0,0.06,7.7,1.0
2022-05-06,0.5,50.0,0.06,13.0,1.0
2022-05-07,0.7,43.0,0.06,12.3,1.0
2022-05-08,0.55,41.33,0.06,9.5,0.67
2022-05-09,0.4,39.67,0.06,8.5,0.33
2022-05-10,0.6,38.0,0.05,7.0,0.0
2022-05-11,0.5,31.0,0.06,5.7,0.0
2022-05-12,0.3,38.0,0.06,7.3,0.0
2022-05-13,0.5,44.0,0.06,8.2,2.0
2022-05-14,0.7,51.0,0.06,9.7,1.0
2022-05-15,0.9,47.0,0.06,11.1,1.0
2022-05-16,0.2,27.0,0.05,10.1,1.0
2022-05-17,0.3,39.0,0.05,6.7,0.0
